id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28739,Eucalyptus Yurt and Botanical Gardens,123720,Michael And Jan,Hawaii,Puna,19.56221,-155.00997,Entire home/apt,130,3,16,2020-02-07,0.19,3,365
30236,"NO Taxes NO Fees, Studio Kihei Akahi walk to Beach",130393,George,Maui,Kihei-Makena,20.71851,-156.4455,Entire home/apt,145,5,150,2020-02-27,1.75,1,0
30279,Quiet Luxury Condo 2 bed/2bath,130705,Anke,Maui,Lahaina,20.87562,-156.67456,Entire home/apt,220,2,25,2020-07-18,0.41,3,240
35084,Absolute Oceanfront Luxury Home w/ Pool & Hot Tub,150997,Hale Mar,Hawaii,Puna,19.59802,-154.93892,Entire home/apt,349,1,88,2020-07-25,0.85,1,263
36789,Ka awa Loa Plantation Guesthouse,158713,Michael,Hawaii,South Kona,19.4828,-155.90697,Private room,118,1,268,2020-08-23,2.26,3,352
37099,RARE HAWAIIAN DIAMOND,85234,Kurt,Honolulu,Primary Urban Center,21.26977,-157.82282,Entire home/apt,125,4,217,2020-03-03,1.77,3,223
38634,Beautiful Oceanfront sunny Waikiki,165595,Yarden,Honolulu,Primary Urban Center,21.28505,-157.83788,Private room,160,2,284,2020-08-17,2.34,3,314
39299,Tropical Studio near Kehena Beach,168598,Nora,Hawaii,Puna,19.41177,-154.90617,Entire home/apt,110,3,235,2020-03-24,1.91,1,353
39898,Sugar Shack 3 in the Ke'ei District,12729,Kelly,Hawaii,South Kona,19.46131,-155.88112,Entire home/apt,113,30,116,2019-10-08,0.95,3,145
40298,"Scandinavian Chalet, Maui, Hawaii",173185,Steve & Jette,Maui,Paia-Haiku,20.91073,-156.22711,Entire home/apt,275,7,31,2019-10-28,0.31,1,166
40803,Stunning Luxury Oceanview Condo,176324,John,Maui,Kihei-Makena,20.75928,-156.45816,Entire home/apt,159,4,68,2020-03-09,0.59,1,248
