id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
497579,SanJose-Interns/Transplants -Short term room (CBR),1835387,Mark,,San Jose,37.27791,-121.91309,Private room,54,8,23,2020-01-30,0.24,4,363
523466,Ideal for Silicon Valley Tech visit,42458,Emey,,Santa Clara,37.34276,-121.98749,Entire home/apt,105,3,17,2020-03-25,0.20,12,180
527119,Spacious and bright master suite in Los Altos.,1596798,Iris,,Los Altos,37.37745,-122.10402,Private room,98,2,62,2020-02-13,0.65,1,351
529161,"Comfy, Cozy & Affordable 1-San Jose",2538509,Barbara,,San Jose,37.40174,-121.82812,Private room,55,5,146,2020-03-30,1.51,2,364
548660,Private W/ En suite Bathroom West San Jose,196389,Joel,,San Jose,37.32036,-121.95468,Private room,73,2,44,2019-12-23,0.49,5,179
552418,Delightful Private Room@Palo Alto,1229021,Ying & Sherry,,Palo Alto,37.43825,-122.11956,Private room,80,5,101,2019-12-08,1.05,8,365
554085,TravelNurses/Interns Welcome-Short/Mid term (Atr),1835387,Mark,,San Jose,37.27591,-121.91541,Private room,52,14,22,2020-03-22,0.27,4,353
582934,Downtown Los Gatos Town Living,2871546,Ron,,Los Gatos,37.22989,-121.97842,Private room,80,2,16,2019-12-22,0.17,2,365
583413,HackerHome - Santa Clara: shared room,43806,Vic,,Santa Clara,37.35634,-121.98417,Shared room,50,2,30,2019-06-15,0.32,49,365
583671,HackerHome - Santa Clara: bunk 1,43806,Vic,,Santa Clara,37.35937,-121.98095,Shared room,49,30,44,2018-10-21,0.46,49,365
583680,HackerHome - Santa Clara: shared room,43806,Vic,,Santa Clara,37.35586,-121.98273,Shared room,50,5,46,2019-08-25,0.48,49,365
598609,"Walk Dwtwn, organic home comfortable queen bed",984791,Carol,,Mountain View,37.39519,-122.09197,Private room,95,1,138,2019-08-22,1.44,4,163
600955,Walk Dwntwn queen bed Organic Home,984791,Carol,,Mountain View,37.3938,-122.0916,Private room,85,1,388,2020-03-28,4.03,4,363
616951,HackerHome - Santa Clara: private room,43806,Vic,,Santa Clara,37.35988,-121.98114,Private room,70,3,27,2018-09-15,0.28,49,365
622445,+: Downtown - Odin,770783,Linc,,Mountain View,37.38905,-122.08611,Shared room,45,1,80,2020-01-02,0.86,1,0
640684,Affordable furnished 2 story condo,3198989,Victor,,San Jose,37.32163,-121.83992,Entire home/apt,89,15,14,2019-09-03,0.17,4,0
656780,"Santa Clara, CA   Stays - Private Bed & Bath",1601491,Larry & Maddi,,Santa Clara,37.39308,-121.96684,Private room,70,1,331,2020-03-16,3.50,1,365
660163,Cloud Sunflower,1130179,Karina,,Mountain View,37.40267,-122.06861,Private room,109,1,103,2019-11-06,1.09,3,0
660662,Own Private Studio in Palo Alto,1229021,Ying & Sherry,,Palo Alto,37.40313,-122.12567,Entire home/apt,129,8,52,2019-03-01,0.55,8,0
698371,Ideally located Executive Palo Alto Home!,3579683,Mona,,Palo Alto,37.44949,-122.1414,Entire home/apt,1000,4,8,2019-06-17,0.09,1,178
698979,"Single Family House, 4 Bedrooms, 2 Full Bathrooms",3583814,Emily,,San Jose,37.41118,-121.85135,Private room,69,365,20,2019-08-06,0.24,1,365
700945,For 1 -Sunnyvale Comfy Corner Bed & Bath,2930837,Abha,,Sunnyvale,37.36305,-122.01438,Private room,87,2,129,2019-06-01,1.38,3,0
706286,Cozy Sunnyvale Condo with in-unit washer & dryer,3272580,Peilin,,Sunnyvale,37.35179,-122.01178,Entire home/apt,145,60,6,2020-05-09,0.18,1,52
725538,Downstairs apartment in downtown SJ,3752861,Loan,,San Jose,37.34723,-121.87177,Entire home/apt,159,1,172,2020-03-23,1.84,1,43
727926,Private Room with bath in Palo Alto,3773919,Monmi & Bhaskar,,Palo Alto,37.41701,-122.11548,Private room,89,1,102,2019-10-30,1.09,1,364
739565,Mason Guesthome Best Location Mt Vw,3868380,Stacey And George,,Mountain View,37.39416,-122.07108,Private room,75,1,44,2020-03-16,0.48,2,74
743215,Paradise 2BR w Sauna Terrace in Saratoga/San Jose,73185,Helen,,Saratoga,37.26458,-122.03686,Entire home/apt,225,2,110,2020-03-05,1.24,1,363
743286,Mozart  Luxurious Master Room,3736812,Celeste,,San Jose,37.27139,-121.81165,Private room,72,30,39,2018-09-30,0.43,2,365
745925,bedroom near downtown Palo Alto,3911935,Davis,,Palo Alto,37.44633,-122.15487,Private room,160,2,175,2020-03-06,1.89,1,365
754226,"Ultimate Serenity, Privacy & Comfort ~ in a Villa.",1879455,Joseph,,Saratoga,37.24391,-122.01966,Private room,99,28,44,2020-02-27,0.48,2,90
764019,Vintage comfort in Palo Alto,4027695,Kirsten,,Palo Alto,37.42033,-122.1326,Private room,89,1,82,2020-04-04,0.90,2,196
765427,Downtown Mtn View Private Home with Hot Tub,3967231,Anne And Mike,,Mountain View,37.39212,-122.07555,Entire home/apt,795,1,25,2016-05-19,0.27,7,365
779899,"2BR w. Parking, Washer&Dryer, Walk to Everything",4112499,Bridget,,Santa Clara,37.34186,-121.99282,Entire home/apt,195,3,8,2019-02-25,0.20,1,0
786226,Charming 1BR 5min. to Gbus,42458,Emey,,Mountain View,37.38493,-122.08396,Entire home/apt,126,31,6,2020-01-02,0.07,12,233
791279,Palo Alto Cottage,4168867,Sruthi,,Palo Alto,37.432,-122.15407,Entire home/apt,200,2,233,2020-03-04,2.63,3,365
796648,Private Room - Near Apple New Campus,1639312,Rodrigo,,Sunnyvale,37.3615,-122.01295,Private room,40,14,10,2017-10-06,0.12,2,294
810306,"Silicon Valley - Private,Quiet:)",4261198,Rob,,San Jose,37.3283,-121.94434,Private room,78,2,42,2020-01-25,0.46,1,364
839590,Petite Maison,4205096,Marcus,,San Jose,37.30739,-121.98124,Private room,150,1,0,,,1,365
