id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15867434,"Airport Home, one of two rooms available",102498072,Bryan,,Parkrose,45.55668,-122.56317,Private room,32,1,313,2020-03-21,7.03,2,0
15888715,Cool Mod Private Entrance Space in SE Portland!,8825,Beth And Robert,,Mt. Scott-Arleta,45.47957,-122.58353,Entire home/apt,64,4,205,2020-06-12,4.61,1,352
15899025,KING size bed in DIY art gallery,318010,Arias,,Richmond,45.50758,-122.62216,Private room,44,1,157,2020-02-22,3.57,2,364
15900501,Pine Manor: Fin de Siècle Stunner!,103138695,Heather,,Buckman,45.52169,-122.65158,Entire home/apt,250,3,66,2020-05-31,1.86,1,76
15910855,Cozy studio convenient to Downtown PDX,20241996,Jeff,,Arbor Lodge,45.57086,-122.69329,Entire home/apt,77,1,249,2020-06-29,5.65,1,238
15930586,★ Walk Score 80 ★ Central AC ★ HBO ★ Garden ★,3158903,Sara,,Concordia,45.56459,-122.62713,Entire home/apt,300,3,134,2020-03-05,3.13,1,157
15951551,"A/C COOL in St. Johns - Private Bath, Pets Okay",30820,Buff Medb,,Portsmouth,45.58824,-122.72591,Private room,65,30,2,2017-08-24,0.05,1,88
15956898,Northeast bungalow room,102092015,Jennifer,,Cully,45.55576,-122.61384,Private room,80,2,9,2018-09-30,0.24,1,88
15969640,"Cozy 2 bdrm apt, walk to literally everything!",103713628,Eva,,Hosford-Abernethy,45.50561,-122.65513,Entire home/apt,120,2,109,2020-03-02,2.48,2,0
15985045,"New apartment near Alberta, Williams, Missippippi",22814842,Nick,,King,45.5642,-122.66008,Entire home/apt,78,1,173,2020-03-18,4.08,1,79
15987481,Modern Sanctuary in the heart of Concordia.,14968156,Michael,,Concordia,45.56305,-122.6339,Entire home/apt,98,1,302,2020-06-27,6.90,1,358
15990961,⁂ Private Pinball Bungalow ⁂,23152933,Jenny,,Concordia,45.56715,-122.63441,Entire home/apt,72,1,186,2020-06-28,5.46,1,0
16004533,2 bedroom downtown St Johns,11399567,Suzie,,St. Johns,45.59612,-122.75366,Entire home/apt,63,30,8,2019-08-11,0.22,1,0
16019732,Clinton/Division Mid-Century Home,2405115,Kal,,Richmond,45.50228,-122.63412,Entire home/apt,350,1,33,2020-02-25,1.01,4,289
16020082,Spacious apt in SE Portland home,6397966,Erin,,Richmond,45.49933,-122.63341,Entire home/apt,70,2,99,2020-03-17,2.40,1,178
16031857,Guesthouse room for extended stays--very close in,104296709,William,,Buckman,45.51472,-122.65282,Private room,44,30,1,2019-08-17,0.09,4,363
16054149,Portland Urban Condo close to PSU,21461223,Hadi,,Portland Downtown,45.511,-122.68026,Entire home/apt,100,31,7,2019-10-26,0.18,1,233
16055306,Bright Comfy Apartment near Alberta Arts district.,93733972,Bill And Gretchen,,Concordia,45.55874,-122.6293,Entire home/apt,80,2,107,2020-02-16,2.44,1,238
