id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13428610,Romantic Private  Master Suite & Gardens #0427,22933425,Jeanne,,Pacific Grove,36.63415,-121.92424,Private room,276,2,28,2020-02-17,0.56,1,286
13768901,Quaint Pacific Grove/Pebble Beach,11486908,Elaine,,Pacific Grove,36.61561,-121.9253,Private room,106,1,494,2020-08-30,9.73,1,333
13902577,Charming Victorian Home Near Beach,82415359,Wilson,,Pacific Grove,36.62533,-121.91879,Entire home/apt,398,2,88,2020-08-23,1.78,1,134
14266085,Cottage Retreat Steps from the Sea,10851823,Viveca And Jim,,Pacific Grove,36.6221,-121.91186,Entire home/apt,282,1,296,2020-08-24,5.95,1,292
14388930,Guest House 5 minutes to Asilomar and Pebble Beach,14882503,Richard,,Pacific Grove,36.62257,-121.93442,Entire home/apt,195,3,53,2020-02-09,1.23,1,241
14403615,Dolphin House *30 day minimum stay* great location,88554111,Beverlee,,Pacific Grove,36.61868,-121.91081,Entire home/apt,135,30,114,2020-07-27,2.32,1,70
14539067,Pacific Grove/Pebble Beach/Monterey/Carmel,85355446,Dee,,Pacific Grove,36.62707,-121.93199,Entire home/apt,300,2,186,2020-03-08,3.79,1,0
15165034,No shared space! Private room/bathroom! PGLic#0405,35048383,Josh And Angi,,Pacific Grove,36.60383,-121.9271,Entire home/apt,126,1,494,2020-08-16,10.51,1,347
15328797,Charming Cottage near Downtown and the Beach,5804744,Jesse,,Pacific Grove,36.62129,-121.92106,Entire home/apt,240,2,254,2020-03-22,5.42,1,0
15522012,Pet friendly Forest and Sea Cottage Lic.#0358,99785912,Jeanie,,Pacific Grove,36.61788,-121.93064,Entire home/apt,110,2,223,2020-05-03,4.74,1,0
15649395,Central to Everything - Casa Mariposa,100986890,Jon & Julie,,Pacific Grove,36.62024,-121.9277,Entire home/apt,325,30,34,2020-01-03,0.75,1,181
15857785,Heart of PG Cottage,102767409,Joy,,Pacific Grove,36.62133,-121.92038,Entire home/apt,268,6,271,2020-07-05,5.90,1,294
16256158,PRE CHRISTMAS SPECIAL! Great Townhouse near Beach!,9583968,Joanne,,Pacific Grove,36.62947,-121.93017,Entire home/apt,201,1,0,,,1,0
16476278,Ocean View At Lovers Point Mermaid Cottage #02204128,2360802,Sean Matthew,,Pacific Grove,36.62788,-121.92064,Entire home/apt,115,1,30,2020-07-01,0.68,1,241
16542967,"Lovers Point Beach House, Perfect Location #0125",99683621,Larry,,Pacific Grove,36.62332,-121.91632,Entire home/apt,559,3,30,2020-07-29,0.70,1,64
16884158,Ocean Front  on Ocean View Blvd,58271767,Evelyn,,Pacific Grove,36.63657,-121.93002,Entire home/apt,210,30,116,2020-08-16,2.81,1,252
16960425,Gorgeous View of Ocean and Golf Course,95005119,Rebecca,,Pacific Grove,36.6355,-121.9299,Entire home/apt,243,30,0,,,1,108
16993825,Beach Cottage Currently unavailable.,32797507,Dionne,,Pacific Grove,36.61465,-121.9131,Private room,40,30,19,2017-09-24,0.44,1,0
16999624,Adorable Sea House,694968,Dean,,Pacific Grove,36.61981,-121.90727,Entire home/apt,496,3,78,2020-08-19,1.91,1,201
17435310,Asilomar Ocean Retreat,49369780,Fatijah,,Pacific Grove,36.62112,-121.93366,Entire home/apt,419,30,22,2020-01-03,0.53,1,75
17479137,"Pacific Grove Cottage, Entire House [30 days min]",118403797,Joe,,Pacific Grove,36.62174,-121.92462,Entire home/apt,197,29,44,2020-04-15,1.03,1,0
17623471,Pacific Grove Mid Century Near Beach,4591051,Dave & Lee,,Pacific Grove,36.62243,-121.92963,Entire home/apt,288,2,197,2020-08-30,4.72,2,265
