id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24034368,Charming Unit in the Upper Haight,1892430,Jan,,Haight Ashbury,37.76768,-122.44603,Entire home/apt,90,30,9,2020-05-31,0.33,33,220
24038598,The Bright House,61330172,Tamara,,Ocean View,37.71666,-122.46505,Shared room,195,30,0,,,1,87
24041601,Triple Room @ Fun & Social Hostel #3,22931450,Sarah & Friends,,North Beach,37.79894,-122.4044,Private room,555,1,33,2020-03-09,1.70,26,0
24043373,Spacious Renovated 2BR Home w/Cleaning Protocol,19144764,Yvonne,,Outer Mission,37.73034,-122.43148,Entire home/apt,139,2,80,2020-08-01,3.39,1,157
24043927,Casa Mission Dolores,10876114,Ranny,,Castro/Upper Market,37.76261,-122.42742,Entire home/apt,150,32,3,2019-09-14,0.15,1,180
24063893,CLEAN MODERN PRIVATE CONDO BY GOLDEN GATE,181162426,Charmaine,,Marina,37.80125,-122.43649,Entire home/apt,140,30,82,2020-07-30,2.75,1,311
24065926,Beautiful Hotel Style Studio Heart of Union Square,70722023,Michael,,Chinatown,37.79121,-122.40798,Entire home/apt,95,2,33,2020-03-13,1.27,55,0
24066861,Victorian Flat,74359557,David,,Castro/Upper Market,37.75885,-122.44029,Entire home/apt,325,2,29,2020-03-18,1.01,1,0
24080862,Duplex 4 bedroom by Haight and Ashbury,374909,Eric,,Haight Ashbury,37.7655,-122.44626,Entire home/apt,200,30,1,2018-08-05,0.04,12,293
24083593,Mission Dolores 2BR with Garden,17968214,David,,Mission,37.76843,-122.42412,Entire home/apt,213,4,16,2020-08-31,0.63,1,13
24086446,"Startup villa for founders, interns, and students.",12176788,Jean-Loïck,,Russian Hill,37.79957,-122.41184,Shared room,27,30,7,2020-07-15,0.30,22,151
24087763,"Cozy Private Room/Private bath, Parking [C]",159540074,Hewett,,Crocker Amazon,37.71255,-122.44312,Private room,90,30,8,2020-03-07,0.28,5,365
24099269,Great Cole Valley Studio,1892430,Jan,,Haight Ashbury,37.7628,-122.45024,Entire home/apt,90,30,0,,,33,342
24099463,Quiet Noe Valley Refuge,107085923,Brian,,Noe Valley,37.74851,-122.4422,Entire home/apt,168,2,35,2020-02-01,1.35,1,0
24099520,"⭐️ Luxury 3BR Home w/Views, Steam Room on Roof Deck ⭐️",181489269,Daniela,,Haight Ashbury,37.76099,-122.44726,Entire home/apt,1160,2,29,2020-08-01,1.08,1,219
24116174,Noe Valley Charm with Yard near Transportation,6858456,Landon&Ginger,,Noe Valley,37.75348,-122.42658,Entire home/apt,457,2,10,2019-08-06,0.34,1,0
