id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22178971,"Cozy In-Law Suite in NE Washington, DC",21463377,Shirlene,,"Brookland, Brentwood, Langdon",38.92507,-76.96609,Entire home/apt,38,3,24,2020-03-18,0.78,1,354
22187642,"Clean, Cozy, and Affordable-2.",32782305,Stacy,,"Capitol View, Marshall Heights, Benning Heights",38.88249,-76.92722,Private room,46,5,28,2020-08-31,0.85,1,325
22190436,"Cozy, well-lit room and bath!",6600327,Tara,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9345,-77.02831,Private room,90,2,1,2017-12-13,0.03,1,0
22193035,Lux Apt near Eastern Market Metro/Marine Barracks,105339434,Lee,,"Capitol Hill, Lincoln Park",38.88061,-76.99359,Entire home/apt,91,1,184,2020-05-31,5.55,4,0
22193388,Private 1BR in-law suite centrally located,157939317,Raffi,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9249,-77.00871,Entire home/apt,98,1,30,2019-05-30,0.95,1,0
22195887,Private 2-Bedroom Apartment (basement),5706129,Aric,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.8695,-76.98333,Entire home/apt,83,1,91,2020-08-23,3.48,6,362
22201266,Cute and Convenient,100035510,Jessica,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89963,-77.01183,Entire home/apt,100,2,18,2019-08-22,0.53,1,0
22201998,1 Bedroom Fully Furnished next to Meridian Hill,2204445,Ahmad,,"Dupont Circle, Connecticut Avenue/K Street",38.91814,-77.03633,Entire home/apt,59,2,5,2018-05-17,0.16,1,0
22202025,Fabulous family home in typical DC rowhouse,8792447,Elise,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93465,-77.02927,Entire home/apt,50,14,0,,,1,0
22204661,2 bedroom apt close to transit - sleeps 6,162256806,Ali And David,,"Brightwood Park, Crestwood, Petworth",38.94942,-77.01949,Entire home/apt,149,3,30,2020-09-14,0.90,1,205
22214119,Cosy two bedroom apartment in Shaw,1250378,Jimena,,"Shaw, Logan Circle",38.90615,-77.02739,Entire home/apt,150,2,9,2019-09-02,0.31,1,89
22215448,Private Apartment,155823616,Mintewab,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.89999,-76.97797,Entire home/apt,75,2,113,2020-09-03,3.38,1,0
22225763,Grand Downtown DC Living - 2 of 3 floors.,25476243,Sara,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90461,-77.01766,Entire home/apt,239,1,14,2020-02-01,0.46,4,0
22229408,"Explorer's Paradise: Near Train, Bus & Bike Share",120875011,J. P.,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92251,-77.00021,Private room,73,30,19,2020-02-18,0.58,1,2
22240666,Hip Home in Little Rome - the Student Stay,6296353,Sahra & Zander,,"North Michigan Park, Michigan Park, University Heights",38.94726,-76.99046,Private room,35,10,14,2019-05-26,0.42,2,0
22244216,Private Room in Cozy Apartment - Kalorama Heights,7624766,Meaghan,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91869,-77.04801,Private room,50,14,0,,,1,0
22244228,Georgia House,160627439,Wayne,,"Brightwood Park, Crestwood, Petworth",38.94602,-77.02556,Entire home/apt,271,2,12,2020-08-29,0.39,1,146
22248384,Design-centric home in Shaw by Convention Center,36080012,Blake,,"Shaw, Logan Circle",38.9104,-77.02022,Entire home/apt,500,3,1,2017-12-21,0.03,1,0
22248905,Bright & colorful in AdamsMorgan,570703,Dorea,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92068,-77.0419,Entire home/apt,120,2,44,2020-03-02,1.31,1,0
22252759,Awesome and cozy place,6925770,Ignacio,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92621,-77.00738,Entire home/apt,85,7,1,2018-03-31,0.03,1,0
22259140,"DC's Suite Sensations, Bud, Bed & Breakfast",162657370,Uneeda,,"Capitol Hill, Lincoln Park",38.88261,-76.98863,Private room,420,1,0,,,1,88
22259303,DC's Suite Hideaway,75797649,Uneeda,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.87447,-76.96413,Private room,420,1,0,,,1,179
22265271,#1 Good place,154507467,Negussie,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9175,-77.0065,Private room,50,2,44,2020-08-31,1.85,3,179
22265652,Home is Where the Cats Are,23502507,Emma,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93347,-77.03863,Entire home/apt,40,1,2,2018-01-01,0.06,1,0
22265966,"Bird Nest, Unit 3 at Palisades Place",160601943,Matthias,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92666,-77.10101,Entire home/apt,60,2,130,2020-08-30,3.92,4,348
22266299,"Sanctuary, Unit 4 at Palisades Place",160601943,Matthias,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.9269,-77.10156,Entire home/apt,55,2,107,2020-09-10,3.23,4,356
22268306,Cozy and brand new condo!,47462040,Fernanda,,"Brightwood Park, Crestwood, Petworth",38.95837,-77.02922,Entire home/apt,55,2,1,2018-01-15,0.03,1,0
22280226,The Logan circle retreat,162822399,Hassan,,"Shaw, Logan Circle",38.91077,-77.02753,Entire home/apt,300,2,30,2020-01-20,0.89,1,0
