id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
406652,Near bustling Magazine St w/BIKES!,2026099,Conor,,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,150,2,171,2022-06-02,1.30,1,234,2,"23STR-08837, 23-OSTR-08837"
908231,Spacious Broadmoor Townhome- Central to Everything,4866349,Dawn,,Broadmoor,29.95201,-90.10369,Entire home/apt,357,2,49,2022-05-15,0.56,1,339,1,"21-RSTR-11877, 20-OSTR-11879"
425692,Quiet place in the Marigny,447521,Krekel,,Marigny,29.965171813964844,-90.0541000366211,Entire home/apt,122,2,166,2023-03-05,1.25,2,11,33,"22-RSTR-07363, 22-OSTR-13445"
425878,Bayou St. John Cottage!!,1919429,Kristin,,Bayou St. John,29.97465,-90.08823,Entire home/apt,125,1,45,2022-11-19,0.41,1,330,6,"19STR-22497, 19-OSTR-3213"
427928,3 Blocks to Jazz Fest! Big Beautiful Best!Sleep 16,2103275,NOLA Festivals,,Fairgrounds,29.98149,-90.07425,Entire home/apt,707,30,146,2020-02-24,1.18,1,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
910912,Bayou St John Historic Home,4887507,Roxanne And Tim,,Bayou St. John,29.97885,-90.08411,Entire home/apt,329,2,109,2023-02-22,1.07,2,289,24,"17STR-11100, 20-OSTR-0000"
441125,Uptown home w/room to spread out!,2191889,Chris,,Audubon,29.93357,-90.11427,Entire home/apt,538,30,35,2020-03-16,0.27,2,210,0,19STR-83914
446478,"30 day minimum, long term rental only",2216025,Gregory,,French Quarter,29.96254,-90.06653,Entire home/apt,150,30,225,2017-06-11,1.76,1,364,0,
914407,Parks-Bowman Mansion: The Red Room,4795675,Adrienne,,Garden District,29.92956,-90.08393,Private room,132,1,571,2023-02-05,4.69,3,296,65,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
914581,Parks-Bowman Mansion: The Haunted Bedroom,4795675,Adrienne,,Garden District,29.92928,-90.08214,Private room,126,1,500,2023-02-22,4.10,3,287,61,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
