id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12784246,Wooded Retreat with private bath,68449774,Melody,,Hennepin,44.8817,-93.48037,Private room,73,2,92,2022-07-31,1.11,1,180,9,
12854381,Convenient Minneapolis/St. Paul Location,40231232,Laura,,Ramsey,44.94613,-93.18906,Private room,71,2,258,2023-03-12,3.10,1,217,42,20180000215
12949503,Comfy lower level Apartment. Great location!,71137046,Matt,,Ramsey,44.95099,-93.14068,Entire home/apt,53,2,166,2023-03-22,2.02,1,66,28,20180003689
12972243,Garden Retreat with Outdoor Space,136635717,Nancy,,Hennepin,44.86954,-93.49743,Entire home/apt,76,5,74,2023-01-14,0.90,1,87,12,
13057334,Quiet Cottage in hilly natural area,72303480,Charlene,,Pierce,44.61107,-92.31416,Entire home/apt,195,2,68,2023-03-05,0.83,1,8,17,
13109781,Stavig's Wilderness Vintage Glamper,33796657,Ia,,Scott,44.62216,-93.29196,Entire home/apt,85,1,9,2018-08-19,0.11,3,364,0,
13135673,Quaint & Quiet on Grand Hill,34769331,Paige,,Ramsey,44.94083,-93.12195,Entire home/apt,85,3,134,2023-01-12,1.63,1,350,21,20180002456
13170249,"Couples or business travelers escape, easy access",67650381,Lee,,Hennepin,44.88594,-93.35233,Entire home/apt,95,2,83,2022-12-06,1.03,2,59,21,
13184364,King Bed / Private Bath / Spacious Upstairs Suite,73752421,Thomas,,Hennepin,45.02874,-93.22601,Private room,50,1,328,2023-03-13,3.95,3,223,64,
13201315,Spacious Apartment inthe Heart of Downtown St Paul,73949606,Inder,,Ramsey,44.94429,-93.1042,Entire home/apt,200,3,3,2016-11-06,0.04,2,88,0,
13325968,Home away from Home,5438875,Pat,,Hennepin,44.91751,-93.24971,Private room,55,1,159,2023-02-24,1.93,1,364,30,Exempt
13344696,Super Bowl rental.  10 minutes from US Bank,75606818,Chad,,Hennepin,44.88045,-93.26471,Entire home/apt,1000,2,1,2018-02-05,0.02,1,0,0,
13396028,Next to the NE mpls and North Loop!,76196341,Tavia,,Hennepin,45.01694,-93.28562,Private room,45,30,0,,,1,0,0,
13616799,Lake Minnetonka Paradise - Entire Home,38178054,Thomas,,Hennepin,44.91096,-93.60102,Entire home/apt,1250,2,52,2022-09-11,0.74,1,315,8,
13709547,The Holly House - Red Room,80039187,Michael,,Ramsey,44.99715,-93.16172,Private room,49,3,63,2023-01-21,0.79,3,284,14,
13727558,Beautiful 4 Bedroom- Private & family friendly!,80277646,Michelle,,Carver,44.77445,-93.63798,Entire home/apt,1000,5,0,,,1,0,0,
13745850,Townhome on Mille Lacs,56718246,Barb,,Mille Lacs,46.13261,-93.5894,Entire home/apt,785,6,0,,,1,358,0,
13825204,Vaccinated Home Share Larger Room w/Breakfast,101750,Liz,,Hennepin,44.91591,-93.43799,Private room,43,1,153,2023-03-17,1.88,3,267,26,
13899943,Vaccinated Home Share Solo Room with Breakfast,101750,Liz,,Hennepin,44.91778,-93.43604,Private room,40,1,179,2023-03-20,2.20,3,171,15,
13911059,Downtown Wayzata just a short walk to coffee shop,82510487,Jeffrey,,Hennepin,44.97291,-93.51956,Entire home/apt,450,2,110,2023-01-30,1.36,1,260,21,
13939824,"Lake Minnetonka, Minnesota Retreat",82901854,Dru,,Hennepin,44.97323,-93.50762,Entire home/apt,1200,5,0,,,1,270,0,
13962953,Large single family home great for entertaining!,83208941,Chad,,Dakota,44.68629,-93.26152,Entire home/apt,300,3,9,2019-07-29,0.16,1,200,0,
14027997,Hygge Home Minutes from DT St. Paul,83970783,Brittaney,,Ramsey,44.97519,-93.06226,Entire home/apt,338,2,8,2022-12-19,0.91,1,353,8,20210002135
14035250,Duplex apartment,84062273,Daniel,,Ramsey,44.94442,-93.16356,Entire home/apt,145,2,159,2023-01-03,2.02,1,294,31,
14058071,Town home on Lake-Hazeltine across from club house,84362637,Tim,,Carver,44.83707,-93.59014,Entire home/apt,1350,5,0,,,1,0,0,
14059804,Tree House Luxury Stay,34857282,Michael,,Washington,44.8018,-92.89933,Entire home/apt,324,1,541,2023-03-15,6.74,2,143,92,
14072464,"Valhalla,  a mystical Norwegian gathering place.",84533377,Ward,,Hennepin,44.88228,-93.38678,Entire home/apt,5500,5,0,,,3,0,0,
14072748,'G' Villa~Luxury Blaine Destination near NSC & TPC,84526816,Aaron,,Anoka,45.1775,-93.2332,Entire home/apt,175,2,109,2022-12-25,1.35,1,255,11,
14095895,Beautiful Maple Grove Home,47930422,Doreen,,Hennepin,45.11786,-93.48808,Entire home/apt,400,2,9,2017-07-31,0.11,1,364,0,
14127784,Perfect home for Ryder Cup fans,78811628,Laura,,Carver,44.80418,-93.59809,Entire home/apt,900,2,2,2022-08-21,0.04,1,83,1,
14141917,Upper Level Duplex - Close to Lakes - Free Cancel,85380382,Mark,,Hennepin,44.90745,-93.31827,Entire home/apt,125,2,34,2023-02-26,0.59,1,73,15,str-133850
14160152,"NCAA Final Four - New 4,500 sq ft6 Bed Luxury Home",34306149,Darin,,Hennepin,44.88083,-93.47592,Entire home/apt,1250,3,2,2019-07-06,0.03,1,358,0,
14164163,Lake Minnetonka Monthly rentals please inquire.,85682564,Jody,,Hennepin,44.94475,-93.64444,Entire home/apt,890,3,25,2022-09-05,0.37,1,199,1,
14213076,Ryder Cup Getaway,86295905,Amber,,Carver,44.85042,-93.63937,Entire home/apt,2000,4,0,,,1,0,0,
14213356,Cozy 3 bedroom house 6 miles from Hazeltine,82965000,Derek,,Carver,44.85758,-93.52404,Entire home/apt,1000,4,0,,,1,0,0,
14233437,Peaceful tree top 2BR attic apartment walkout deck,85546336,Chris,,Hennepin,44.94087,-93.3006,Entire home/apt,137,3,150,2023-02-26,1.88,1,328,39,STR-397325
14246707,Lake view,52415572,Maryam,,Anoka,45.06818,-93.23049,Entire home/apt,36,30,140,2021-06-27,2.00,2,306,0,
14266877,"Great, Convenient South Minneapolis Location (1)",77157807,Patty,,Hennepin,44.93494,-93.29214,Private room,38,30,161,2020-07-12,2.00,2,81,0,
