id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20913527,Clarksville Convenience & Luxury Austin Texas,146219023,Roya Johnson,,78703,30.28204,-97.75598,Private room,80,1,96,2020-09-06,2.67,1,78
20915676,PERFECT FOR ACL-  2BR Apartment in Downtown Austin,42120138,Alexander,,78702,30.25319,-97.73457,Entire home/apt,265,3,0,,,2,0
20917262,SoLa Studio Overseeing Zilker + ACL,150332509,Ashlyn,,78704,30.25511,-97.7607,Entire home/apt,137,1,15,2019-03-04,0.42,1,0
20920756,"Modern Getaway with Loft, Patio & Fenced Backyard",109638288,TurnKey Vacation Rentals,,78702,30.2546,-97.73388,Entire home/apt,361,2,56,2020-09-13,1.57,76,339
20929723,Modern Barton Hills Oasis 4Bdr with pool,284080,Tiffany,,78704,30.24362,-97.78335,Entire home/apt,770,3,53,2020-09-12,1.45,1,42
20930699,Eastside living,66138596,Kelsey,,78723,30.31815,-97.68819,Entire home/apt,161,2,5,2020-06-28,0.26,1,0
20932160,Low Price Meets Comfort in S. Central Austin,6634962,Brandee,,78704,30.23444,-97.76603,Shared room,20,1,35,2018-01-27,0.96,1,0
20932451,"Ultramodern, High-tech House an Eight-Min Walk to Rainey St",26917810,Tom,,78702,30.25523,-97.73528,Entire home/apt,3499,2,37,2020-09-08,1.05,1,365
20932887,Private Hyde Park Guesthouse,110978770,Weston,,78751,30.31071,-97.7231,Entire home/apt,75,2,124,2020-07-26,3.45,1,148
20933380,Entire 1BD 1 Bath Apartment Both ACL Weekends.,150489069,Amber,,78726,30.4366,-97.83679,Private room,50,1,3,2017-10-16,0.08,1,0
20935862,"Modern, Clean Live/Work Space w/ Hi Speed Internet",6752394,Joe,,78704,30.24208,-97.77502,Entire home/apt,141,14,67,2020-03-15,1.89,4,113
20936044,"Homie, and Spacious ACL space",150520280,Adelina,,78741,30.2388,-97.7137,Entire home/apt,85,1,2,2017-10-15,0.06,1,0
20943467,Sunny Central Flat,84790831,Natasha,,78741,30.24103,-97.73233,Entire home/apt,97,150,8,2019-07-09,0.22,1,0
20945127,Spacious Private Room & Bath - Walk to ACL! :),4088227,Daniel,,78704,30.25276,-97.7691,Private room,45,2,13,2018-10-21,0.36,1,0
20947311,"Peaceful, quiet and close enough to the action",5139854,Timothy,,78745,30.21787,-97.78871,Entire home/apt,179,2,1,2017-10-22,0.03,1,0
20947987,♥of Downtown w/free parking Sleeps 20 in 14 beds!♥,974631,Austin,,78701,30.26583,-97.74218,Entire home/apt,636,180,14,2020-08-27,0.39,14,30
20950201,Cozy 2 Bedroom Apartment,25642675,Ariella,,78705,30.28798,-97.74551,Entire home/apt,150,2,3,2018-02-18,0.09,2,0
20956567,Bungalow Home in South Austin,2489081,Ana,,78704,30.24611,-97.75387,Entire home/apt,100,2,23,2020-02-16,0.64,1,74
20957215,Little Pink Bungalow,118569034,Em,,78702,30.25955,-97.69911,Entire home/apt,171,30,110,2020-01-01,3.03,1,0
20957794,Westlake Treehouse,150736202,Shelly,,78746,30.27191,-97.80812,Entire home/apt,775,3,16,2020-09-07,0.45,1,340
20960414,East Side Home with Great Views of Downtown,19237727,Sean,,78702,30.2706,-97.71791,Entire home/apt,500,2,0,,,1,0
20960747,Zilker Studio Hideaway,24362264,Timothy,,78704,30.26032,-97.77363,Entire home/apt,170,1,1,2017-10-10,0.03,1,0
20969599,"South Austin - Private Bed, Private Bath - SXSW",56530105,Jamie,,78745,30.20493,-97.80634,Private room,99,1,3,2018-03-17,0.08,1,0
